cat_num,term,bracketed,field,number,title,faculty,description,prerequisites,notes,meetings,building,room
87204,SPRING,FALSE,BIOPHYS,339,"Theoretical and Experimental Approaches to Study Genetic Variation within Populations",ed7488796700d446724211885228f8a4,,,,,,
87208,SPRING,TRUE,RELIGION,2520,"Postcolonialism and Religion",6041f2a472ba07e5cd97b44d54176b51,,,"Offered jointly with the Divinity School.","Th., 2-4",,
8721,FALL,TRUE,HEB,1380,"Behavioral Biology of Women",671ea5ffd6d04572731db6b688b8604e,"This course is an exploration of female behavioral biology from an evolutionary and biosocial perspective. We will focus on physiological, ecological, and social aspects of women's development from puberty, through reproductive processes such as pregnancy, birth and lactation, to menopause and aging. We will also explore female life-history strategies in a variety of cultural settings. Topics include cognitive and behavioral differences between men and women and male and female reproductive strategies. Examples are drawn primarily from traditional and modern human societies; data from studies of nonhuman primates are also considered.",,"Priority given to Human Evolutionary Biology concentrators.","Tu., Th., 10-11:30",,
87232,SPRING,FALSE,COMPLIT,221,"Literature, Philosophy, Pedagogy: Love and Freedom","4bfbc0671777708c7f556a2d9ecf2d1f,895b4c00348936263bc709cf04132356","Notions of ""love"" and ""freedom"" have persistently informed works of literature, visual art, and music since antiquity, exhibiting a complex variety of meanings, functions and values. The aim of this course is to investigate exemplary works that highlight some of the major tensions and questions related to distinct formulations of these two key terms. In reviewing a broad range of material, attention is paid throughout to specific historical, social, and cultural differences.",,,"W., 2-4",,
87233,FALL,FALSE,VES,52r,"Introduction to Non Fiction Videomaking",b4c276b771a145716843af02b495d78c,"Following an introductory exercise, each student will spend the term making a single nonfiction video on a subject of his or her choosing.",,"Students seeking to enroll are encouraged to bring a paragraph describing a proposed subject to the first class meeting.","M., W. 1-4",,
8726,SPRING,TRUE,MEDVLSTD,223,"Preaching and the Sermon in the Middle Ages",daffb44b29d202d03254ddd606502f2f,"A literary and historical survey of preaching and the sermon from the early to the late Middle Ages, as practiced by bishops, monks, friars, religious women, lay people, and dissident Christians. Readings from sermons and other primary sources, current research on the history of preaching, and methodological issues. Focus on sermon and sermon-related manuscripts in the Houghton Library collection.","Completion of an intermediate Latin course or the equivalent.","Offered jointly with the Divinity School as 2226.","W., 1-4",,
8727,FALL,FALSE,ANTHRO,1010,"The Fundamentals of Archaeological Methods & Reasoning","6d160deef5c5d0c72eba28d6854fb314,fd043baeb07c6e397cf2549816223931","A comprehensive introduction to the practice of archaeology and major themes from our human past: how do archaeologists know where to dig? How do we analyze and understand what we find? What do we know about the origins of the human species, agriculture, cities, and civilization? The course integrates methods and theory, and utilizes Peabody Museum collections, to show how we reconstruct ancient diet, trade, and political systems. We also explore the role of archaeology in colonialism, modern politics, and film.",,"One 2 hour section per week. This course, when taken for a letter grade, meets the General Education requirement for Empirical and Mathematical Reasoning. This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past.","M., W., at 10",,
8728,SPRING,FALSE,JAPAN,Bb,"Elementary Japanese",614f087f324e2a3b7cb5a2b75887d423,"Continuation of Japanese Ba, with an approximately 135 additional Kanji.","Japanese Ba or equivalent.",,"Sections M., W., F., at 9, 10, or 1, and two additional hours to be arranged for Tu. and Th.",,
87282,SPRING,FALSE,COMPSCI,186,"Economics and Computation",b023f4580b03208372b9df7b3c6f8c6f,"The interplay between economic thinking and computational thinking as it relates to electronic commerce, social networks, collective intelligence and networked systems. Topics covered include: game theory, peer production, reputation and recommender systems, prediction markets, crowd sourcing, network influence and dynamics, auctions and mechanisms, privacy and security, matching and allocation problems, computational social choice and behavioral game theory. Emphasis will be given to core methodologies, with students engaged in theoretical, computational and empirical exercises.","Applied Math 21b, Computer Science 51 or equivalent, Statistics 110, and one of Computer Science 181, Computer Science 182, Economics 1011a, Economics 1052, or Economics 1056.",,"M., W., 11:30-1",,
8730,FALL,TRUE,CULTR&BLF,40,"Popular Culture and Modern China",e790a2b8396e12fed32ad26201143f8e,"This course examines ""popular culture"" as a modern, transnational phenomenon and explores its manifestation in Chinese communities (in People's Republic of China, Taiwan, Hong Kong, Southeast Asia and North America) and beyond. From pulp fiction to film, from ""Yellow Music"" to ""Model Theater"", from animations to internet games, the course looks into how China became modern by participating in the global circulation of media forms, and how China helps in her own way enrich the theory and practice of ""popular culture"".",,"This course, when taken for a letter grade, meets the General Education requirement for Culture and Belief or Aesthetic and Interpretive Understanding, but not both.","M., W., at 11; four film screenings to be arranged; and a weekly section to be arranged",,
8732,FALL,FALSE,ECON,2001,"Research in Behavior in Games and Markets","96a8d36bc5067e1aa6b31b49e2cf8040,bc12d51d6565967cbf5ff3ac1be9a4c8,d2c004956e0cd33f176363e579475790,f3503da1d2728d2f5ca6744161095d79","Presents current research in Theory, Behavioral Economics, and Experimental Economics",,,"W., 11:30-1",,
